Starting the game...
None
{'economy': 100, 'stability': 1.0, 'territory_size': 1, 'border_empires': 0, 'age': 0}
{'economy': 100, 'stability': 1.0, 'territory_size': 1, 'border_empires': 0, 'age': 0}
{'economy': 100, 'stability': 1.1, 'territory_size': 1, 'border_empires': 0, 'age': 0}
{'economy': 100, 'stability': 1.1, 'territory_size': 1, 'border_empires': 0, 'age': 0}
{'economy': 100, 'stability': 1.2000000000000002, 'territory_size': 1, 'border_empires': 0, 'age': 0}
{'economy': 100, 'stability': 1.2000000000000002, 'territory_size': 1, 'border_empires': 0, 'age': 0}
{'economy': 100, 'stability': 1.2000000000000002, 'territory_size': 2, 'border_empires': 0, 'age': 0}
{'economy': 100, 'stability': 1.2000000000000002, 'territory_size': 2, 'border_empires': 0, 'age': 0}
{'economy': 100, 'stability': 1.3000000000000003, 'territory_size': 2, 'border_empires': 0, 'age': 0}
{'economy': 100, 'stability': 1.4000000000000004, 'territory_size': 2, 'border_empires': 0, 'age': 0}
{'economy': 100, 'stability': 1.4000000000000004, 'territory_size': 2, 'border_empires': 0, 'age': 0}
{'economy': 100, 'stability': 1.4000000000000004, 'territory_size': 2, 'border_empires': 0, 'age': 0}
{'economy': 100, 'stability': 1.4000000000000004, 'territory_size': 2, 'border_empires': 0, 'age': 0}
{'economy': 100, 'stability': 1.5000000000000004, 'territory_size': 2, 'border_empires': 0, 'age': 0}
{'economy': 100, 'stability': 1.6000000000000005, 'territory_size': 2, 'border_empires': 0, 'age': 0}
{'economy': 100, 'stability': 1.7000000000000006, 'territory_size': 2, 'border_empires': 0, 'age': 0}
{'economy': 100, 'stability': 1.7000000000000006, 'territory_size': 2, 'border_empires': 0, 'age': 0}
{'economy': 100, 'stability': 1.7000000000000006, 'territory_size': 2, 'border_empires': 0, 'age': 0}
{'economy': 100, 'stability': 1.7000000000000006, 'territory_size': 4, 'border_empires': 0, 'age': 0}
{'economy': 100, 'stability': 1.7000000000000006, 'territory_size': 4, 'border_empires': 0, 'age': 0}
{'economy': 100, 'stability': 1.7000000000000006, 'territory_size': 4, 'border_empires': 0, 'age': 0}
{'economy': 100, 'stability': 1.7000000000000006, 'territory_size': 8, 'border_empires': 0, 'age': 0}
{'economy': 100, 'stability': 1.7000000000000006, 'territory_size': 8, 'border_empires': 0, 'age': 0}
{'economy': 100, 'stability': 1.7000000000000006, 'territory_size': 8, 'border_empires': 0, 'age': 0}
{'economy': 100, 'stability': 1.8000000000000007, 'territory_size': 8, 'border_empires': 0, 'age': 0}
{'economy': 100, 'stability': 1.8000000000000007, 'territory_size': 8, 'border_empires': 0, 'age': 0}
{'economy': 100, 'stability': 1.8000000000000007, 'territory_size': 8, 'border_empires': 0, 'age': 0}
